Title,STEM
Chief Executives,0
General and Operations Managers,0
Legislators,0
Advertising and Promotions Managers,0
Marketing Managers,0
Sales Managers,0
Public Relations Managers,0
Fundraising Managers,0
Administrative Services Managers,0
Facilities Managers,0
Computer and Information Systems Managers,1
Financial Managers,1
Industrial Production Managers,1
Purchasing Managers,0
"Transportation, Storage, and Distribution Managers",0
Compensation and Benefits Managers,0
Human Resources Managers,0
Training and Development Managers,0
"Farmers, Ranchers, and Other Agricultural Managers",0
Construction Managers,0
"Education and Childcare Administrators, Preschool and Daycare",0
"Education Administrators, Kindergarten through Secondary",0
"Education Administrators, Postsecondary",0
"Education Administrators, All Other",0
Architectural and Engineering Managers,1
Food Service Managers,0
Gambling Managers,0
"Entertainment and Recreation Managers, Except Gambling",0
Lodging Managers,0
Medical and Health Services Managers,1
Natural Sciences Managers,1
Postmasters and Mail Superintendents,0
"Property, Real Estate, and Community Association Managers",0
Social and Community Service Managers,0
Emergency Management Directors,0
Funeral Home Managers,0
"Personal Service Managers, All Other",0
"Managers, All Other",0
"Agents and Business Managers of Artists, Performers, and Athletes",0
"Buyers and Purchasing Agents, Farm Products",0
"Wholesale and Retail Buyers, Except Farm Products",0
"Purchasing Agents, Except Wholesale, Retail, and Farm Products",0
"Claims Adjusters, Examiners, and Investigators",0
"Insurance Appraisers, Auto Damage",0
Compliance Officers,0
Cost Estimators,0
Human Resources Specialists,0
Farm Labor Contractors,0
Labor Relations Specialists,0
Logisticians,0
Project Management Specialists,0
Management Analysts,0
"Meeting, Convention, and Event Planners",0
Fundraisers,0
"Compensation, Benefits, and Job Analysis Specialists",0
Training and Development Specialists,0
Market Research Analysts and Marketing Specialists,0
"Business Operations Specialists, All Other",0
Accountants and Auditors,0
Appraisers of Personal and Business Property,0
Appraisers and Assessors of Real Estate,0
Budget Analysts,0
Credit Analysts,0
Financial and Investment Analysts,0
Personal Financial Advisors,0
Insurance Underwriters,0
Financial Risk Specialists,0
Financial Examiners,0
Credit Counselors,0
Loan Officers,0
"Tax Examiners and Collectors, and Revenue Agents",0
Tax Preparers,0
"Financial Specialists, All Other",0
Computer Systems Analysts,1
Information Security Analysts,1
Computer and Information Research Scientists,1
Computer Network Support Specialists,0
Computer User Support Specialists,0
Computer Network Architects,1
Database Administrators,1
Database Architects,1
Network and Computer Systems Administrators,0
Computer Programmers,1
Software Developers,1
Software Quality Assurance Analysts and Testers,1
Web Developers,1
Web and Digital Interface Designers,1
"Computer Occupations, All Other",1
Actuaries,0
Mathematicians,1
Operations Research Analysts,1
Statisticians,1
Data Scientists,1
"Mathematical Science Occupations, All Other",1
"Architects, Except Landscape and Naval",0
Landscape Architects,0
Cartographers and Photogrammetrists,0
Surveyors,0
Aerospace Engineers,1
Agricultural Engineers,1
Bioengineers and Biomedical Engineers,1
Chemical Engineers,1
Civil Engineers,1
Computer Hardware Engineers,1
Electrical Engineers,1
"Electronics Engineers, Except Computer",1
Environmental Engineers,1
"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",1
Industrial Engineers,1
Marine Engineers and Naval Architects,1
Materials Engineers,1
Mechanical Engineers,1
"Mining and Geological Engineers, Including Mining Safety Engineers",1
Nuclear Engineers,1
Petroleum Engineers,1
"Engineers, All Other",1
Architectural and Civil Drafters,0
Electrical and Electronics Drafters,0
Mechanical Drafters,0
"Drafters, All Other",0
Aerospace Engineering and Operations Technologists and Technicians,0
Civil Engineering Technologists and Technicians,0
Electrical and Electronic Engineering Technologists and Technicians,0
Electro-Mechanical and Mechatronics Technologists and Technicians,0
Environmental Engineering Technologists and Technicians,0
Industrial Engineering Technologists and Technicians,0
Mechanical Engineering Technologists and Technicians,0
Calibration Technologists and Technicians,0
"Engineering Technologists and Technicians, Except Drafters, All Other",0
Surveying and Mapping Technicians,0
Animal Scientists,1
Food Scientists and Technologists,1
Soil and Plant Scientists,1
Biochemists and Biophysicists,1
Microbiologists,1
Zoologists and Wildlife Biologists,1
"Biological Scientists, All Other",1
Conservation Scientists,1
Foresters,1
Epidemiologists,1
"Medical Scientists, Except Epidemiologists",1
"Life Scientists, All Other",1
Astronomers,1
Physicists,1
Atmospheric and Space Scientists,1
Chemists,1
Materials Scientists,1
